ABMC,American Battle Monuments Commission
ACF,Administration Of Children And Families
ACFR,Administrative Committee Of The Federal Register
ADF,African Development Foundation
AFRH,Armed Forces Retirement Home
AHRQ,Agency For Healthcare Research And Quality
AMS,Agricultural Marketing Service
AMTRAK,National Railroad Passenger Corporation
AOA,Administration On Aging
APHIS,Animal And Plant Health Inspection Service
APPAL,Appalachian States Low Level Radioactive Waste Commission
ARCTIC,Arctic Research Commission
ARS,Agricultural Research Service
ARTS,National Foundation On The Arts And The Humanities
ATBCB,Architectural And Transportation Barriers Compliance Board
ATF,"Alcohol, Tobacco, Firearms, And Explosives Bureau"
ATSDR,Agency For Toxic Substances And Disease Registry
BBG,Broadcasting Board Of Governors
BEA,Bureau Of Economic Analysis
BGSEEF,Barry M. Goldwater Scholarship And Excellence In Education Foundation
BIA,Bureau Of Indian Affairs
BIS,Bureau Of Industry And Security
BLM,Bureau Of Land Management
BLS,Bureau Of Labor Statistics
BOP,Federal Prisons Bureau
BOR,Bureau Of Reclamation
BPA,Bonneville Power Administration
BPD,Bureau Of Public Debt
CBO,Congressional Budget Office
CCC,Commodity Credit Corporation
CCJJDP,Coordinating Council On Juvenile Justice And Delinquency Prevention
CDC,Centers For Disease Control And Prevention
CDFI,Community Development Financial Institutions Fund
CEQ,Council On Environmental Quality
CFTC,Commodity Futures Trading Commission
CFPB,Consumer Financial Protection Bureau
CIA,Central Intelligence Agency
CITA,Committee For The Implementation Of Textile Agreements
CMS,Centers For Medicare & Medicaid Services
CNCS,Corporation For National And Community Service
COE,Corps Of Engineers
COFA,Commission Of Fine Arts
COLC,"Copyright Office, Library Of Congress"
COPS,Community Oriented Policing Services
CORP,Corporation For National And Community Service
CPPBSD,Committee For Purchase From People Who Are Blind Or Severely Disabled
CPSC,Consumer Product Safety Commission
CRB,"Copyright Royalty Board, Library Of Congress"
CRC,Civil Rights Commission
CSB,Chemical Safety And Hazard Investigation Board
CSEO,Child Support Enforcement Office
CSOSA,Court Services And Offender Supervision Agency For The District Of Columbia
CSREES,"Cooperative State Research, Education, And Extension Service"
DARPA,Defense Advanced Research Projects Agency
DARS,Defense Acquisition Regulations System
DC,Denali Commission
DCAA,Defense Contract Audit Agency
DEA,Drug Enforcement Administration
DEPO,Disability Employment Policy Office
DFAS,Defense Finance And Accounting Services
DHS,Department Of Homeland Security
DIA,Defense Intelligence Agency
DISA,Defense Information Systems Agency
DLA,Defense Logistics Agency
DNFSB,Defense Nuclear Facilities Safety Board
DOC,Department Of Commerce
