commentId,documentId,agencyId,year,max_cosine,min_edit_distance,max_lcs,max_lcs_pct,comment_length,polarity,n_all_comments,n_doc_dupe_comments,pct_doc_dupe_comments,n_gt90,pct_gt90,all_tokens,unique_tokens,rare_tokens,pct_rare_tokens,form_letter
SBA-2018-0009-4113,SBA-2018-0009-4112,SBA,2020,0.17434122807282,190,11,0.044,733,0.8,134,69,0.5348837209302325,7,0.05426356589147287,69,59,8,0.11594202898550725,n
SBA-2018-0009-4114,SBA-2018-0009-4112,SBA,2020,0.103897496331,247,3,0.75,4,1,134,69,0.5348837209302325,7,0.05426356589147287,1,1,0,0,n
SBA-2018-0009-4115,SBA-2018-0009-4112,SBA,2020,0.11499415991951,189,18,0.072,468,0.7142857142857143,134,69,0.5348837209302325,7,0.05426356589147287,42,36,6,0.14285714285714285,n
SBA-2018-0009-4116,SBA-2018-0009-4112,SBA,2020,0.1192932796858,188,17,0.068,268,0.5,134,69,0.5348837209302325,7,0.05426356589147287,22,21,2,0.09090909090909091,n
SBA-2018-0009-4117,SBA-2018-0009-4112,SBA,2020,0.41828508032454,196,12,0.048,1255,0.5384615384615384,134,69,0.5348837209302325,7,0.05426356589147287,106,63,11,0.10377358490566038,n
SBA-2018-0009-4118,SBA-2018-0009-4112,SBA,2020,0.15604282473432,189,17,0.068,279,1,134,69,0.5348837209302325,7,0.05426356589147287,24,20,3,0.125,n
SBA-2018-0009-4119,SBA-2018-0009-4112,SBA,2020,0.37772178076539,121,42,0.168,1303,0.12,134,69,0.5348837209302325,7,0.05426356589147287,124,86,18,0.14516129032258066,n
SBA-2018-0009-4120,SBA-2018-0009-4112,SBA,2020,0.73487045397603,64,142,0.568,583,0.2,134,69,0.5348837209302325,7,0.05426356589147287,53,44,9,0.16981132075471697,y
SBA-2018-0009-4121,SBA-2018-0009-4112,SBA,2020,0.32565005311237,153,36,0.144,639,-0.3333333333333333,134,69,0.5348837209302325,7,0.05426356589147287,55,42,4,0.07272727272727272,n
SBA-2018-0009-4122,SBA-2018-0009-4112,SBA,2020,0.75496628729761,157,42,0.168,434,0,134,69,0.5348837209302325,7,0.05426356589147287,41,35,1,0.024390243902439025,y
SBA-2018-0009-4123,SBA-2018-0009-4112,SBA,2020,0.98748565726943,4,199,0.796,752,0.3333333333333333,134,69,0.5348837209302325,7,0.05426356589147287,68,49,17,0.25,y
SBA-2018-0009-4124,SBA-2018-0009-4112,SBA,2020,0.8750584725029,85,64,0.256,595,0.2727272727272727,134,69,0.5348837209302325,7,0.05426356589147287,55,43,7,0.12727272727272726,y
SBA-2018-0009-4125,SBA-2018-0009-4112,SBA,2020,0.85069640265206,104,76,0.304,574,0,134,69,0.5348837209302325,7,0.05426356589147287,52,41,2,0.038461538461538464,y
SBA-2018-0009-4126,SBA-2018-0009-4112,SBA,2020,0.86612287908322,157,124,0.496,415,-0.1111111111111111,134,69,0.5348837209302325,7,0.05426356589147287,44,36,1,0.022727272727272728,y
SBA-2018-0009-4127,SBA-2018-0009-4112,SBA,2020,0.43072870398131,155,37,0.148,515,-0.2,134,69,0.5348837209302325,7,0.05426356589147287,45,35,2,0.044444444444444446,n
SBA-2018-0009-4128,SBA-2018-0009-4112,SBA,2020,0.32565005311237,172,23,0.092,579,0.5,134,69,0.5348837209302325,7,0.05426356589147287,51,42,2,0.0392156862745098,n
SBA-2018-0009-4129,SBA-2018-0009-4112,SBA,2020,0.66115222140989,91,122,0.488,592,0.1111111111111111,134,69,0.5348837209302325,7,0.05426356589147287,49,39,11,0.22448979591836735,n
SBA-2018-0009-4130,SBA-2018-0009-4112,SBA,2020,0.94361443953892,85,199,0.796,859,0.14285714285714285,134,69,0.5348837209302325,7,0.05426356589147287,78,61,17,0.21794871794871795,y
SBA-2018-0009-4134,SBA-2018-0009-4112,SBA,2020,0.32996180689002,192,11,0.044,2007,0.25,134,69,0.5348837209302325,7,0.05426356589147287,170,115,18,0.10588235294117647,n
SBA-2018-0009-4135,SBA-2018-0009-4112,SBA,2020,0.98748565726943,4,155,0.62,747,0.3333333333333333,134,69,0.5348837209302325,7,0.05426356589147287,69,50,16,0.2318840579710145,y
SBA-2018-0009-4136,SBA-2018-0009-4112,SBA,2020,0.80390102473653,74,116,0.464,466,0.75,134,69,0.5348837209302325,7,0.05426356589147287,39,32,7,0.1794871794871795,y
SBA-2018-0009-4137,SBA-2018-0009-4112,SBA,2020,0.80390102473653,79,116,0.464,424,0.8,134,69,0.5348837209302325,7,0.05426356589147287,37,29,9,0.24324324324324326,y
SBA-2018-0009-4138,SBA-2018-0009-4112,SBA,2020,0.75507257869518,40,202,0.808,995,0.07692307692307693,134,69,0.5348837209302325,7,0.05426356589147287,98,74,14,0.14285714285714285,y
SBA-2018-0009-4139,SBA-2018-0009-4112,SBA,2020,0.50472994737821,40,202,0.808,1093,-0.04,134,69,0.5348837209302325,7,0.05426356589147287,104,76,13,0.125,n
SBA-2018-0009-4140,SBA-2018-0009-4112,SBA,2020,0.97300304008764,123,187,0.748,1614,0.4666666666666667,134,69,0.5348837209302325,7,0.05426356589147287,156,107,19,0.12179487179487179,y
